Order,Level,Code,Parent,Description,Rulings,This item includes,This item also includes,This item excludes
512419,6,58.11.19,58.11.1,"Other printed books, brochures, leaflets and the like","This subcategory includes:
- books of general interest published for consumption by the public at large 

Includes literary fiction and non-fiction; poetry and drama; religious books, bibles and hymnals; non-fiction such as history, political, biographies, home and garden, how-to books, cook books, travel guides etc.","This subcategory excludes:
- audio books, 58.11.20",,
512420,5,58.11.2,58.11,"Books on disk, tape or other physical media",,,,
512421,6,58.11.20,58.11.2,"Books on disk, tape or other physical media","This subcategory includes:
- physical media (CD-ROM, tape etc.) containing audio books, i.e. audio recordings of someone reading the text of a book
- physical media (CD-ROM, diskette, microfilm, microfiche etc.) containing non-audio recordings of text material from periodicals, textbooks, reference books and other sources",,,
512422,5,58.11.3,58.11,On-line books,,,,
512423,6,58.11.30,58.11.3,On-line books,"This subcategory includes:
- on-line books, including school textbooks, general reference books, such as atlases and other books of maps or charts, dictionaries and encyclopaedias",,,
512424,5,58.11.4,58.11,Advertising space in books,,,,
512425,6,58.11.41,58.11.4,"Advertising space in books, printed",,,,
512426,6,58.11.42,58.11.4,"Advertising space in books, electronic",,,,
512427,5,58.11.5,58.11,Publishing of books on a fee or contract basis,,,,
512428,6,58.11.50,58.11.5,Publishing of books on a fee or contract basis,,,,
512429,5,58.11.6,58.11,Licensing services for books,,,,
512430,6,58.11.60,58.11.6,Licensing services for books,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate literary originals such as books, brochures, leaflets, maps and the like","This subcategory excludes:
- rental of books, see 77.29.19",,
512431,4,58.12,58.1,Publishing directories and mailing lists,,,,
512432,5,58.12.1,58.12,Directories and mailing lists printed or on physical media,,,,
512433,6,58.12.10,58.12.1,Directories and mailing lists printed or on physical media,"This subcategory includes:
- publications of collections of systematically organised contact information. Descriptive information on persons, organisations, publications, or other entities is often included. Some examples are:
  . telephone directories
  . business and trade directories
  . municipal and city directories","This subcategory excludes:
- original compilations of mailing lists, see 63.99.20",,
512434,5,58.12.2,58.12,On-line directories and mailing lists,,,,
512435,6,58.12.20,58.12.2,On-line directories and mailing lists,"This subcategory includes:
- on-line provision services of collections of systematically organised contact information. Descriptive information on persons, organisations, publications, or other entities is often included. Some examples are: 
  . telephone directories
  . business and trade directories
  . municipal and city directories",,,
512436,5,58.12.3,58.12,Licensing services for the right to use directories and mailing lists,,,,
512437,6,58.12.30,58.12.3,Licensing services for the right to use directories and mailing lists,,,,
512438,4,58.13,58.1,Publishing services of newspapers,,,,
512439,5,58.13.1,58.13,Printed newspapers,,,,
512440,6,58.13.10,58.13.1,Printed newspapers,"This subcategory includes:
- newspapers published at least four times a week covering multiple topics with the intent of appealing to a broad audience","This subcategory also includes:
- advertising newspapers published at least four times a week",,
512441,5,58.13.2,58.13,On-line newspapers,,,,
512442,6,58.13.20,58.13.2,On-line newspapers,"This subcategory includes:
- on-line newspapers issued on the Internet where the main content is updated at least four times a week at fixed intervals, usually on a daily basis; whether on subscription or not
- portions of newspapers such as headlines E-mailed daily or more frequently","This subcategory excludes:
- digital archives, see 91.01.12",,
512443,5,58.13.3,58.13,Advertising space in newspapers,,,,
512444,6,58.13.31,58.13.3,"Advertising space in newspapers, printed",,,,
512445,6,58.13.32,58.13.3,"Advertising space in newspapers, electronic",,,,
512446,4,58.14,58.1,Publishing services of journals and periodicals,"This class includes:
- newspapers, journals and periodicals published less than four times a week","This class excludes:
- newspapers and periodicals published at least four times a week, see 58.13",,
512447,5,58.14.1,58.14,Printed journals and periodicals,"This category excludes:
- on-line periodicals, see 58.14.20",,,
512448,6,58.14.11,58.14.1,Printed general interest journals and periodicals,"This subcategory includes:
- periodicals covering multiple topics of general interest intended to appeal to a broad audience

Examples include general news, business news, personal finance, general interest (including articles, pictures, etc.)",,,
512449,6,58.14.12,58.14.1,"Printed business, professional and academic journals and periodicals",,,,
512450,6,58.14.19,58.14.1,Other printed journals and periodicals,,,,
512451,5,58.14.2,58.14,On-line journals and periodicals,,,,
512452,6,58.14.20,58.14.2,On-line journals and periodicals,"This subcategory includes:
- on-line provision services of journals and other periodicals issued on the Internet where the main content is updated less than four times a week at fixed intervals, usually on weekly or monthly basis; whether on subscription or not
- portions of the periodicals such as headlines E-mailed on regular basis","This subcategory excludes:
- digital archives, see 91.01.12",,
512453,5,58.14.3,58.14,Advertising space in journals and periodicals,,,,
512454,6,58.14.31,58.14.3,"Advertising space in journals and periodicals, printed",,,,
512455,6,58.14.32,58.14.3,"Advertising space in journals and periodicals, electronic",,,,
512456,5,58.14.4,58.14,Licensing services for journals and periodicals,,,,
512457,6,58.14.40,58.14.4,Licensing services for journals and periodicals,,,,
512458,4,58.19,58.1,Other publishing services,,,,
512459,5,58.19.1,58.19,Other printed matter publishing services,,,,
512460,6,58.19.11,58.19.1,"Printed postcards, cards bearing greetings and the like",,,,
512461,6,58.19.12,58.19.1,"Printed pictures, designs and photographs",,,,
512462,6,58.19.13,58.19.1,"Printed transfers (decalcomanias), calendars",,,,
512463,6,58.19.14,58.19.1,"Printed unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and similar documents of title",,,,
512464,6,58.19.15,58.19.1,"Printed trade advertising material, commercial catalogues and the like","This subcategory excludes:
- printed advertising newspapers, see 58.13.10",,,
512465,6,58.19.19,58.19.1,Other printed matter,,,,
512466,5,58.19.2,58.19,Other on-line content,,,,
512467,6,58.19.21,58.19.2,On-line adult content,"This subcategory includes provision services of:
- mature theme, sexually explicit content published or broadcast over the Internet including graphics, live feeds, interactive performances and virtual activities

Payment may be by methods such as subscription, membership fee or pay-per-view.","This subcategory excludes:
- adult content in on-line newspapers, periodicals and books, see 58.11.30, 58.13.20, 58.14.20
- adult content in digital archives, see 91.01.12",,
512468,6,58.19.29,58.19.2,Other on-line content n.e.c.,"This subcategory includes:
- other on-line content not included above such as greeting cards, calendars, reproduction of works of art
- statistics and similar information published on-line","This subcategory excludes:
- application hosting and application service provisioning, see 63.11",,
512469,5,58.19.3,58.19,Licensing services for other printed matter,,,,
512470,6,58.19.30,58.19.3,Licensing services for other printed matter,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate artistic originals such as reproduction and reprints of original works of arts
- licensing services for other copyrighted printed matter such as calendars, greeting cards, photos etc.",,,
512471,3,58.2,58,Software publishing services,,,,
512472,4,58.21,58.2,Publishing services of computer games,,,,
512473,5,58.21.1,58.21,"Computer games, packaged",,,,
512474,6,58.21.10,58.21.1,"Computer games, packaged",,,,
512475,5,58.21.2,58.21,Computer games downloads,,,,
512476,6,58.21.20,58.21.2,Computer games downloads,"This subcategory includes:
- electronic files containing computer games that can be downloaded and stored on a local device",,,
512477,5,58.21.3,58.21,On-line games,,,,
512478,6,58.21.30,58.21.3,On-line games,"This subcategory includes:
- provision of games that are intended to be played on the Internet such as provision of:
  . role-playing games (RPGs)
  . strategy games 
  . action games
  . card games
  . children's games

Payment may be by methods such as subscription or pay-per-play.","This subcategory excludes:
- on-line gambling services, see 92.00.14",,
512479,5,58.21.4,58.21,Licensing services for the right to use computer games,,,,
512480,6,58.21.40,58.21.4,Licensing services for the right to use computer games,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate computer programs, program descriptions and supporting materials for computer games","This subcategory excludes:
- acquisition of rights and publishing services, see division 58
- off the shelf (packaged) software, see 58.2
- limited end-user licenses as part of packaged software, see 58.2",,
512481,4,58.29,58.2,Other software publishing services,,,,
512482,5,58.29.1,58.29,"Systems software, packaged","Software (Customising or adaptation of …)

Problem statement: What exactly is the border/difference between customising of software (62.01) and adaptation of non-customised software in 58.29?

Solution: Adaptation work for software as main activity should be classified in NACE Rev. 2 class 62.01. Publishing of software as main activity in NACE Rev. 2 class 58.29. The adaptation of software by publisher on own account is publishers second activity and should be treated according to general classification rules for multiple activities. Usually the main activity remains publishing.

Decision date: 01.07.2007",,,
512483,6,58.29.11,58.29.1,"Operating systems, packaged","This subcategory includes:
- low-level software which handles the interface to peripheral hardware, schedules tasks, allocates storage, and presents a default interface to the user when no application program is running 

Includes all client and network operating systems.",,,
512484,6,58.29.12,58.29.1,"Network software, packaged","This subcategory includes:
- software that is used to control, monitor, manage and communicate with operating systems, networks, network services, databases, storage and networked applications in an integrated and cooperative fashion across a network from a central location

Includes all network management software, server software, security and encryption software, middleware, etc.",,,
512485,6,58.29.13,58.29.1,"Database management software, packaged","This subcategory includes:
- collection/suite of software programs that enables storage, modification and extraction information from a database 

There are many different types of DBMSs ranging from small systems that run on computers to huge systems that run on mainframes.",,,
512486,6,58.29.14,58.29.1,"Development tools and programming languages software, packaged","This subcategory includes:
- software used to assist in the development and/or authoring of computer programs
- Software products that support the professional developer in the design, development, and implementation of a variety of software systems and solutions",,,
512487,5,58.29.2,58.29,"Application software, packaged","Software (Customising or adaptation of …)

Problem statement: What exactly is the border/difference between customising of software (62.01) and adaptation of non-customised software in 58.29?

Solution: Adaptation work for software as main activity should be classified in NACE Rev. 2 class 62.01. Publishing of software as main activity in NACE Rev. 2 class 58.29. The adaptation of software by publisher on own account is publishers second activity and should be treated according to general classification rules for multiple activities. Usually the main activity remains publishing.

Decision date: 01.07.2007",,,
512488,6,58.29.21,58.29.2,"General business productivity and home use applications, packaged","This subcategory includes:
- software used for general business purposes to improve productivity, or at home for entertainment, reference or educational purposes 

Includes office suite applications such as word processors, spreadsheets, simple databases; graphics applications; project management software, computer-based training software, reference, home education, etc.",,,
512489,6,58.29.29,58.29.2,"Other application software, packaged","This subcategory includes:
- cross-industry application software, i.e. software that is designed to perform and/or manage a specific business function or process that is not unique to a particular industry.

Includes professional accounting software, human resource management, customer relations management software, Geographic Information System software, web page/website design software, etc.

- vertical market application software, i.e. software that performs a wide range of business functions for a specific industry such as manufacturing, retail, health care, engineering, restaurants, etc.
- utilities software, i.e. a small computer program that performs a very specific task, such as compression programs, anti-virus, search engines, font, file viewers, and voice recognition software (utilities differ from other applications software in terms of size, cost and complexity)
- application software n.e.c.",,,
512490,5,58.29.3,58.29,Software downloads,"Software (Customising or adaptation of …)

Problem statement: What exactly is the border/difference between customising of software (62.01) and adaptation of non-customised software in 58.29?

Solution: Adaptation work for software as main activity should be classified in NACE Rev. 2 class 62.01. Publishing of software as main activity in NACE Rev. 2 class 58.29. The adaptation of software by publisher on own account is publishers second activity and should be treated according to general classification rules for multiple activities. Usually the main activity remains publishing.

Decision date: 01.07.2007","This category includes:
- electronic files containing software that can be downloaded and stored on a local device for a later execution/installation",,
512491,6,58.29.31,58.29.3,System software downloads,,,,
512492,6,58.29.32,58.29.3,Application software downloads,,,,
512493,5,58.29.4,58.29,On-line software,"Software (Customising or adaptation of …)

Problem statement: What exactly is the border/difference between customising of software (62.01) and adaptation of non-customised software in 58.29?

Solution: Adaptation work for software as main activity should be classified in NACE Rev. 2 class 62.01. Publishing of software as main activity in NACE Rev. 2 class 58.29. The adaptation of software by publisher on own account is publishers second activity and should be treated according to general classification rules for multiple activities. Usually the main activity remains publishing.

Decision date: 01.07.2007",,,
512494,6,58.29.40,58.29.4,On-line software,"This subcategory includes:
- software that is intended to be executed on-line","This subcategory excludes:
- on-line games, see 58.21.30
- software downloads, see 58.29.3
- on-line gambling services, see 92.00.14",,
512495,5,58.29.5,58.29,Licensing services for the right to use computer software,,,,
512496,6,58.29.50,58.29.5,Licensing services for the right to use computer software,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate computer programs, program descriptions and supporting materials for both systems and applications software. This applies to various levels of licensing rights:
  . rights to reproduce and distribute the software
  . rights to use software components for the creation of and inclusion in other software products","This subcategory excludes:
- limited end-user licenses as part of software, see 58.29.1-58.29.4",,
512497,2,59,J,"Motion picture, video and television programme production services, sound recording and music publishing",,,,
512498,3,59.1,59,"Motion picture, video and television programme services",,,,
512499,4,59.11,59.1,"Motion picture, video and television programme production services",,,,
512500,5,59.11.1,59.11,"Production services of motion picture, video and television programmes",,,,
512501,6,59.11.11,59.11.1,Motion picture production services,"Stuntmen services

Problem statement: Where are stuntmen services classified?

Solution: 1) Services of own account stuntmen are classified to CPA 2008 class 90.01 where services of individual artists like actors are included. 
2) Stuntmen employed by producing film companies are to CPA 2008 class 59.11.

Decision date: 01.07.2007","This subcategory includes:
- production and realisation of motion pictures including animated cartoons primarily designed for showing in movie theatres
- production and realisation of motion pictures of all types (series, telefilms, including animated cartoons) primarily designed for showing on television","This subcategory excludes:
- production services of still and slide films, see 74.20",
512502,6,59.11.12,59.11.1,Promotional or advertisement motion picture and video production services,"Stuntmen services

Problem statement: Where are stuntmen services classified?

Solution: 1) Services of own account stuntmen are classified to CPA 2008 class 90.01 where services of individual artists like actors are included. 
2) Stuntmen employed by producing film companies are to CPA 2008 class 59.11.

Decision date: 01.07.2007",,,
512503,6,59.11.13,59.11.1,Other television programme production services,"Stuntmen services

Problem statement: Where are stuntmen services classified?

Solution: 1) Services of own account stuntmen are classified to CPA 2008 class 90.01 where services of individual artists like actors are included. 
2) Stuntmen employed by producing film companies are to CPA 2008 class 59.11.

Decision date: 01.07.2007","This subcategory includes:
- other television programme production services, live or recorded, such as talk shows, entertainment, sports etc.","This subcategory excludes:
- television programming and broadcasting services, see 60.20.1",
512504,5,59.11.2,59.11,"Motion picture, video and television programme products",,,,
512505,6,59.11.21,59.11.2,"Motion picture, video and television programme originals","This subcategory includes:
- copyrighted motion picture, videotape and television programmes produced without contract for outright sale (i.e., with all-attendant property rights)

These originals are produced for sale that is implicitly or explicitly protected by copyright.",,,
512506,6,59.11.22,59.11.2,Cinematographic film,,,,
512507,6,59.11.23,59.11.2,"Films and other video content on disk, tape or other physical media","This subcategory includes:
- physical media (CDs, cassette tapes, and records, etc., excluding cinematographic film) containing video recordings","This subcategory excludes:
- retailing of DVDs produced by others, see 47.00.64
- original recordings produced for outright sale (i.e., with all property rights), see 59.11.21
- audio disks and tapes, see 59.20.3",,
512508,6,59.11.24,59.11.2,Films and other video downloads,"This subcategory includes:
- electronic files containing films and other video recordings that can be downloaded and stored on a local device",,,
512509,5,59.11.3,59.11,"Sale of advertising space or time in motion picture, video and television products",,,,
512510,6,59.11.30,59.11.3,"Sale of advertising space or time in motion picture, video and television products",,,,
512511,4,59.12,59.1,"Motion picture, video and television programme post-production services",,,,
512512,5,59.12.1,59.12,"Motion picture, video and television programme post-production services",,,,
512513,6,59.12.11,59.12.1,Audio-visual editing services,"This subcategory includes:
- organising and arranging the visual and audio aspects of an audiovisual work (film, video, digital media, etc.) by analysing, evaluating, and selecting scenes in terms of story continuity and dramatic and entertainment value, using equipment such as viewers, projectors, and digital video editing devices and techniques
 
Process includes incorporating stock shots selected from film and video libraries into film or video.",,,
512514,6,59.12.12,59.12.1,Transfers and duplication of masters services,"This subcategory includes:
- transfers services, i.e. transferring an audiovisual work (motion picture film, video, digital media, etc.) from one format to another with the purpose of adapting the production to a format selected for its presentation or preservation characteristics (e.g., creating backup masters or copies because the original is deteriorating). Examples include transfer of film to tape, tape to film, digital media to film, digital media to tape, diapose to video, photo to video, etc.
- duplication and copying services for audiovisual works, except film, i.e. creating large-run and small-run reproductions of audiovisual works (video, digital media, etc.) for a variety of uses

The reproductions may be produced in a variety of formats, including VHS, DVD, streamed video, etc.",,,
512515,6,59.12.13,59.12.1,Colour correction and digital restoration services,"This subcategory includes:
- colour correction services, i.e. adding, modifying, or excluding colour from an audiovisual work (film, video, or digital media, etc.) electronically, using digital techniques
- digital restoration services for audiovisual works, i.e. removing scratches from audiovisual works (film, video, or digital media, etc.) by using digital techniques to get the film ready for the transfer process",,,
512516,6,59.12.14,59.12.1,Visual effects services,"This subcategory includes:
- introducing visual effects to audiovisual works (film, video, or digital media, etc.) by applying photographic or digital technology to the work after the principal photography or main shooting has occurred, such as miniatures, optical and digital effects, matte paintings, double printing, fades, and vignetting",,,
512517,6,59.12.15,59.12.1,Animation services,"This subcategory includes:
- creating pictures, abstract designs, and similar original compositions using various techniques, including computerised animation or by sequences of drawings 
- claymation (animation of personages and objects created with clay)",,,
512518,6,59.12.16,59.12.1,"Captioning, titling and subtitling services","This subcategory includes:
- captioning services for audiovisual works, i.e. adding text to an audiovisual work (film, video, or digital media, etc.), using a character generator or a captioning data generation system, including:
  . open captioning services, which create text always visible on screen
  . closed captioning services, which create text made visible on screen at the option of the user
- titling services for audiovisual works, i.e. adding typesetter and graphical elements that serve to identify and enhance the audiovisual work (film, video, or digital media, etc.) through texts, including beginning titles, credits, and words
- subtitling services for audiovisual works, i.e. inserting text in the screen that translates the dialogues and titles of the original audiovisual work (film, video, or digital media, etc.) to the language of the country in which the films or video is exhibited",,,
512519,6,59.12.17,59.12.1,Sound editing and design services,"This subcategory includes:
- creating, adding, and recording the sound elements (dialogue, music, sounds, and silences) of an audiovisual work (film, video, digital media, etc.) for a soundtrack that synchronises the audio with the visual portion of the work:
  . composing, recording, mixing, and integrating original music and sound into the soundtrack of an audiovisual work
  . recording of music that is timed to the sequence of an audiovisual work
  . mixing and recording licensed and client-supplied music and sound for integration into the soundtrack of an audiovisual work
  . integrating licensed and client-supplied music and sound into the soundtrack of an audiovisual work and synchronising the sound elements with visual elements of the work
  . licensing and/or agent services for licensing of music and sound bundled with mixing or integration services",,,
512520,6,59.12.19,59.12.1,"Other motion picture, video and television programme post-production services","This subcategory includes:
- other postproduction services for audiovisual works (film, video, digital media, etc.), including format conversion services, compression services, etc.",,,
512521,4,59.13,59.1,"Motion picture, video and television programme distribution services",,,,
512522,5,59.13.1,59.13,"Motion picture, video and television programme licensing and distribution services",,,,
512523,6,59.13.11,59.13.1,Licensing services for film rights and their revenues,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate entertainment originals such as the broadcasting and showing of original films, television programmes, pre-recorded tapes, videos","This subcategory excludes:
- rental of video tapes and disks, see 77.22.10",,
512524,6,59.13.12,59.13.1,"Other motion picture, video and television programme distribution services","This subcategory includes:
- granting permission to exhibit, broadcast, and rent audiovisual works that are implicitly or explicitly protected by copyright owned or controlled by the licensor, including live action or animated films, videos, digital media, etc. usually intended for theatres, television, home video market, etc. 
- distribution of motion picture, video and television programme revenues to motion picture theatres, television networks and stations and exhibitors",,,
512525,4,59.14,59.1,Motion picture projection services,,,,
512526,5,59.14.1,59.14,Motion picture projection services,,,,
512527,6,59.14.10,59.14.1,Motion picture projection services,"This subcategory includes:
- motion picture projection services in movie theatres, in open air or in cine-clubs, in private screening rooms or other projection facilities",,,
512528,3,59.2,59,Sound recording and music publishing services,,,,
512529,4,59.2,59.2,Sound recording and music publishing services,,,,
512530,5,59.20.1,59.2,Sound recording and live recording services; sound recording originals,,,,
512531,6,59.20.11,59.20.1,Sound recording services,"This subcategory includes:
- services rendered in the process of converting sounds, words, and music to a permanent physical format using the specialised technical equipment of a sound recording studio","This subcategory excludes:
- live recordings done outside a studio, such as at a concert hall, stadium, outdoor stage, or conference centre, see 59.20.12
- providing a sound recording studio or sound recording equipment where the client provides the primary technicians and operators of the equipment, see rental of recording studio facilities 77.39.19",,
512532,6,59.20.12,59.20.1,Live recording services,"This subcategory includes:
- all recording services performed on location of a live, public event, such as a conference, seminar, meeting, or concert, etc.
- recording of live radio broadcasts done within a sound recording studio","This subcategory excludes:
- further recording services performed in a studio, see 59.20.11",,
512533,6,59.20.13,59.20.1,Sound recording originals,"This subcategory includes:
- the original recordings of sounds, words, and music converted to a digital or analog format","This subcategory excludes:
- radio programme originals, see 59.20.22",,
512534,5,59.20.2,59.2,Radio programme production services; radio programme originals,,,,
512535,6,59.20.21,59.20.2,Radio programme production services,,,,
512536,6,59.20.22,59.20.2,Radio programme originals,"This subcategory includes:
- copyrighted radio programmes produced without contract for outright sale (i.e., with all-attendant property rights)

These originals are produced for sale that is implicitly or explicitly protected by copyright.",,,
512537,5,59.20.3,59.2,Music publishing services,"This category excludes:
- retailing of print music produced by others, see 47.00.58
- licensing of the rights to print or copy a musical composition, see 59.20.41",,,
512538,6,59.20.31,59.20.3,Printed music,"This subcategory includes:
- musical compositions in printed form. Includes prints of owned compositions and of those for which the publisher has obtained rights to the composition copyright

Printed compositions are distributed as sheet music, folios, or books in printed form to wholesalers and retailers for ultimate consumption by consumers.",,,
512539,6,59.20.32,59.20.3,Electronic scores,"This subcategory includes:
- musical compositions in electronic form",,,
512540,6,59.20.33,59.20.3,"Musical audio disks, tapes or other physical media",,,,
512541,6,59.20.34,59.20.3,Other audio disks and tapes,"This subcategory excludes:
- audio books and tapes, see 58.11.20",,,
512542,6,59.20.35,59.20.3,Music downloads,"This subcategory includes:
- electronic files containing musical audio recordings that can be downloaded and stored on a local device",,,
512543,5,59.20.4,59.2,Licensing services for the right to use acoustic originals,,,,
512544,6,59.20.40,59.20.4,Licensing services for the right to use acoustic originals,"This subcategory includes:
- licensing services for the right to reproduce, distribute or incorporate musical originals such as sound recordings, pre-recorded tapes and reprints","This subcategory excludes:
- rental of musical CDs, DVDs and tapes, see 77.22.10",,
512545,2,60,J,Programming and broadcasting services,,,,
512546,3,60.1,60,Radio broadcasting services,,,,
512547,4,60.1,60.1,Radio broadcasting services,,,,
512548,5,60.10.1,60.1,Radio broadcasting services; broadcast originals,,,,
512549,6,60.10.11,60.10.1,Radio programming and broadcasting services,"This subcategory includes:
- programme selection, scheduling and broadcasting of radio programmes
- combined programme production and broadcasting services","This subcategory excludes:
- radio programme production, see 59.20.21",,
512550,6,60.10.12,60.10.1,Radio broadcasting originals,"This subcategory includes:
- original radio content protectable as intellectual property, produced for transmission",,,
512551,5,60.10.2,60.1,Radio channel programmes,,,,
512552,6,60.10.20,60.10.2,Radio channel programmes,"This subcategory includes:
- assemblies of radio programmes and broadcasts as the daily line-up of a station for distribution by others",,,
512553,5,60.10.3,60.1,Radio advertising time,,,,
512554,6,60.10.30,60.10.3,Radio advertising time,,,,
512555,3,60.2,60,Television programming and broadcasting services; broadcasting originals,,,,
512556,4,60.2,60.2,Television programming and broadcasting services; broadcasting originals,,,,
512557,5,60.20.1,60.2,Television programming and broadcasting services,"This category excludes:
- program elements production services, not associated with broadcasting, see 59.11.1
- distribution services of television programs, without programming, see division 61",,,
512558,6,60.20.11,60.20.1,"On-line television programming and broadcasting services, except by subscription","This subcategory includes:
- on-line programme selection, scheduling and broadcasting of television programmes 
- on-line combined programme production and broadcasting services",,,
512559,6,60.20.12,60.20.1,"Other television programming and broadcasting services, except by subscription","This subcategory includes:
- other programme selection, scheduling and broadcasting of television programmes 
- other combined programme production and broadcasting services",,,
512560,6,60.20.13,60.20.1,On-line television subscription programming and broadcasting services,"This subcategory includes:
- on-line programme selection, scheduling and broadcasting of television subscription programmes 
- on-line combined subscription programme production and broadcasting services
- on-line services of video-on-demand channels",,,
512561,6,60.20.14,60.20.1,Other television subscription programming and broadcasting services,"This subcategory includes:
- other programme selection, scheduling and broadcasting of television subscription programmes 
- other combined subscription programme production and broadcasting services
- other services of video-on-demand channels",,,
512562,5,60.20.2,60.2,Television broadcasting originals,,,,
512563,6,60.20.20,60.20.2,Television broadcasting originals,"This subcategory includes:
- original television content protectable as intellectual property, produced for transmission",,,
512564,5,60.20.3,60.2,Television channel programmes,,,,
512565,6,60.20.31,60.20.3,"Television channel programmes, except for subscription television","This subcategory includes:
- assemblies of television programs and broadcasts, except for subscription television, as the daily line-up of a channel for distribution by others",,,
512566,6,60.20.32,60.20.3,Subscription television channel programmes,"This subcategory includes:
- assemblies of subscription television programmes and broadcasts as the daily line-up of a channel for distribution by others",,,
512567,5,60.20.4,60.2,Television advertising time,,,,
512568,6,60.20.40,60.20.4,Television advertising time,,,,
512569,2,61,J,Telecommunications services,,,,
512570,3,61.1,61,Wired telecommunications services,,,,
512571,4,61.1,61.1,Wired telecommunications services,,,,
512572,5,61.10.1,61.1,Data and message transmitting services,,,,
512573,6,61.10.11,61.10.1,Fixed telephony services - access and use,"Telephone cards (Sale of...)

Problem statement: Where is the sale of prepaid telephone cards (for mobile phones or for other phones) classified?

Solution: Prepaid telephone cards should are seen as a form of payment for the service provided. Therefore sale of prepaid telephone cards should be classified as a telecommunication activity according to the type of telecommunication service the card is intended for (wired or wireless).

Decision date: 01.07.2007","This subcategory includes:
- provision of access to and use of the public switched telephone network for the transmission and switching of voice, data, and video from a fixed customer location or from public and semi-public coin and card operated phones 
- inbound and outbound telephony to and from national and international destinations
- calling features bundled with the access service","This subcategory excludes:
- provision of fixed telephony calling features for a separate fee, see 61.10.12
- provision of fixed telephony private line services, see 61.10.13
- provision of a local loop to other wired telecommunications service providers, see 61.10.20
- rental of terminal equipment, see 77.39.14",
512574,6,61.10.12,61.10.1,Fixed telephony services - calling features,"This subcategory includes: 
- provision of call management services for use from a fixed customer location for a fee, separate from the access fee 

This service is made possible by specialised software and database applications linked to telecommunications networks. It includes features such as:
  . call waiting, call forwarding, caller identification, three-way calling, call display, call return, call screen, call blocking, automatic call-back, call answer, voice mail and voice menus",,,
512575,6,61.10.13,61.10.1,Private network services for wired telecommunications systems,"This subcategory includes: 
- provision of wired telecommunication link(s) between specified points for the exclusive use of the client","This subcategory excludes:
- provision of private links by a telecommunication carrier to a wired telecommunication service provider, see 61.10.20",,
512576,5,61.10.2,61.1,Carrier services for wired telecommunications,,,,
512577,6,61.10.20,61.10.2,Carrier services for wired telecommunications,"This subcategory includes:
- provision by a telecommunication carrier of wired facilities to originate, terminate, or transit calls for another telecommunications service provider
- charging for interconnection, settlement or termination of domestic or international calls
- charging long-distance carriers for calls originating at a pay phone or within another carriers local network
- charging for jointly used facilities such as pole attachment
- charging for the exclusive use of circuits","This subcategory excludes:
- carriage of wired Internet traffic by one ISP for another ISP, see 61.10.41",,
512578,5,61.10.3,61.1,Data transmission services over wired telecommunications networks,,,,
512579,6,61.10.30,61.10.3,Data transmission services over wired telecommunications networks,"This subcategory includes:
- provision of access to wired facilities and services specifically designed for the efficient transmission of data on a pay-as-you-use basis","This subcategory excludes:
- provision of wired telecommunication link(s) between specified points for the exclusive use of the client, see 61.10.13",,
512580,5,61.10.4,61.1,Wired Internet telecommunications services,,,,
512581,6,61.10.41,61.10.4,Internet backbone services,"This subcategory includes:
- carrier services of Internet traffic by one ISP for another ISP (generally known in the industry as peering and transit charges)",,,
512582,6,61.10.42,61.10.4,Narrow-band Internet access services over wired networks,"This subcategory includes:
- provision of a direct wired connection to the Internet at speeds below 256 Kbps. The Internet Service Provider (ISP) may also provide free services along with Internet access such as E-mail, space for the customer’s web page, tools for simple web page design, chat, and technical support","This service may also include remote access or other types of Internet access and package upgrades such as international roaming and extra E-mail boxes, usually for additional costs to customers.",,
512583,6,61.10.43,61.10.4,Broad-band Internet access services over wired networks,"This subcategory includes:
- provision of a direct wired connection to the Internet at speeds 256 Kbps and higher. The Internet Service Provider (ISP) may also provide free services along with Internet access such as E-mail, space for the customer’s web page, tools for simple web page design, chat, and technical support.","This service may also include remote access or other types of Internet access and package upgrades such as international roaming and extra E-mail boxes, usually for additional costs to customers.",,
512584,6,61.10.49,61.10.4,Other wired Internet telecommunications services,"This subcategory includes:
- provision of wired telecommunications services over the Internet other than Internet access
 
This includes services such as fax, telephony, audio conferencing and video conferencing over the Internet.",,,
512585,5,61.10.5,61.1,Home programme distribution services over wired infrastructure,,,,
512586,6,61.10.51,61.10.5,"Home programme distribution services over wired infrastructure, basic programming package","This subcategory includes:
- providing subscriber access to a basic range of programming services via wired infrastructure generally for a monthly fee
 
This package contains the minimum number of channels available to subscribers, as defined by each cable operator, and must be purchased to obtain any higher-level programming package. Charges for initial connection to the network, or for reconnection to the network, are included here.",,,
512587,6,61.10.52,61.10.5,"Home programme distribution services over wired infrastructure, discretionary programming package","This subcategory includes:
- providing subscriber programming services via wired infrastructure in addition to those included in the basic package for a fee separate from, and in addition to, the basic monthly fee
 
This programming service can be provided in bundles determined by the cable operator or by the subscriber.",,,
